"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
1,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Johor,Malaysia
2,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Johor,Malaysia
3,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Johor,Malaysia
4,Birthday of the Sultan of Johor,Wednesday,Regional Holiday,Johor only,2022-03-23,Johor,Malaysia
5,Beginning of Ramadan,Sunday,Regional Holiday,"Johor, Kedah, Malacca",2022-04-03,Johor,Malaysia
6,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Johor,Malaysia
7,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Johor,Malaysia
8,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Johor,Malaysia
9,Hari Raya Aidilfitri Holiday,Wednesday,Regional Holiday,Johor,2022-05-04,Johor,Malaysia
10,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Johor,Malaysia
11,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Johor,Malaysia
12,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Johor,Malaysia
13,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Johor,Malaysia
14,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Johor,Malaysia
15,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Johor,Malaysia
16,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Johor,Malaysia
17,The Sultan of Johor Hol,Saturday,Regional Holiday,Johor only,2022-09-03,Johor,Malaysia
18,Public Holiday,Sunday,Regional Holiday,Johor,2022-09-11,Johor,Malaysia
19,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Johor,Malaysia
20,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Johor,Malaysia
21,Public Holiday,Sunday,Regional Holiday,Johor,2022-10-16,Johor,Malaysia
22,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Johor,Malaysia
23,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Johor,Malaysia
24,Public Holiday,Sunday,Regional Holiday,In conjunction with the 15th General Election,2022-11-20,Johor,Malaysia
25,Public Holiday,Sunday,Regional Holiday,Johor,2022-11-27,Johor,Malaysia
26,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Johor,Malaysia
27,Christmas Day,Sunday,National Holiday,"",2022-12-25,Johor,Malaysia
28,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Johor,Malaysia
29,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kedah,Malaysia
30,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kedah,Malaysia
31,Isra and Miraj,Tuesday,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu",2022-03-01,Kedah,Malaysia
32,Beginning of Ramadan,Sunday,Regional Holiday,"Johor, Kedah, Malacca",2022-04-03,Kedah,Malaysia
33,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Kedah,Malaysia
34,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Kedah,Malaysia
35,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Kedah,Malaysia
36,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Kedah,Malaysia
37,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Kedah,Malaysia
38,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Kedah,Malaysia
39,Birthday of the Sultan of Kedah,Sunday,Regional Holiday,Kedah only,2022-06-19,Kedah,Malaysia
40,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Kedah,Malaysia
41,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Kedah,Malaysia
42,Hari Raya Haji Holiday,Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Kedah,Malaysia
43,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Kedah,Malaysia
44,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Kedah,Malaysia
45,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Kedah,Malaysia
46,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Kedah,Malaysia
47,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Kedah,Malaysia
48,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Kedah,Malaysia
49,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Kedah,Malaysia
50,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Kedah,Malaysia
51,Christmas Day,Sunday,National Holiday,"",2022-12-25,Kedah,Malaysia
52,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Kedah,Malaysia
53,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kelantan,Malaysia
54,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kelantan,Malaysia
55,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Kelantan,Malaysia
56,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Kelantan,Malaysia
57,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Kelantan,Malaysia
58,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Kelantan,Malaysia
59,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Kelantan,Malaysia
60,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Kelantan,Malaysia
61,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Kelantan,Malaysia
62,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Kelantan,Malaysia
63,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Kelantan,Malaysia
64,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Kelantan,Malaysia
65,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Kelantan,Malaysia
66,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Kelantan,Malaysia
67,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Kelantan,Malaysia
68,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Kelantan,Malaysia
69,Birthday of the Sultan of Kelantan,Friday,Regional Holiday,Kelantan only,2022-11-11,Kelantan,Malaysia
70,Birthday of the Sultan of Kelantan Holiday,Saturday,Regional Holiday,Kelantan only. Second day,2022-11-12,Kelantan,Malaysia
71,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Kelantan,Malaysia
72,Public Holiday,Sunday,Regional Holiday,In conjunction with the 15th General Election,2022-11-20,Kelantan,Malaysia
73,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Kelantan,Malaysia
74,Christmas Day,Sunday,National Holiday,"",2022-12-25,Kelantan,Malaysia
75,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Kelantan,Malaysia
76,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Kuala Lumpur,Malaysia
77,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Kuala Lumpur,Malaysia
78,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kuala Lumpur,Malaysia
79,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kuala Lumpur,Malaysia
80,Federal Territory Day Holiday,Thursday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2022-02-03,Kuala Lumpur,Malaysia
81,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Kuala Lumpur,Malaysia
82,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Kuala Lumpur,Malaysia
83,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Kuala Lumpur,Malaysia
84,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Kuala Lumpur,Malaysia
85,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Kuala Lumpur,Malaysia
86,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Kuala Lumpur,Malaysia
87,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Kuala Lumpur,Malaysia
88,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Kuala Lumpur,Malaysia
89,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Kuala Lumpur,Malaysia
90,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Kuala Lumpur,Malaysia
91,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Kuala Lumpur,Malaysia
92,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Kuala Lumpur,Malaysia
93,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Kuala Lumpur,Malaysia
94,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Kuala Lumpur,Malaysia
95,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Kuala Lumpur,Malaysia
96,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Kuala Lumpur,Malaysia
97,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Kuala Lumpur,Malaysia
98,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Kuala Lumpur,Malaysia
99,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Kuala Lumpur,Malaysia
100,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Kuala Lumpur,Malaysia
101,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Kuala Lumpur,Malaysia
102,Christmas Day,Sunday,National Holiday,"",2022-12-25,Kuala Lumpur,Malaysia
103,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Kuala Lumpur,Malaysia
104,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Labuan,Malaysia
105,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Labuan,Malaysia
106,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Labuan,Malaysia
107,Federal Territory Day Holiday,Thursday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2022-02-03,Labuan,Malaysia
108,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Labuan,Malaysia
109,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Labuan,Malaysia
110,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Labuan,Malaysia
111,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Labuan,Malaysia
112,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Labuan,Malaysia
113,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Labuan,Malaysia
114,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Labuan,Malaysia
115,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Labuan,Malaysia
116,Pesta Kaamatan,Monday,Regional Holiday,Sabah and Labuan only,2022-05-30,Labuan,Malaysia
117,Pesta Kaamatan,Tuesday,Regional Holiday,Sabah and Labuan only,2022-05-31,Labuan,Malaysia
118,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Labuan,Malaysia
119,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Labuan,Malaysia
120,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Labuan,Malaysia
121,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Labuan,Malaysia
122,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Labuan,Malaysia
123,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Labuan,Malaysia
124,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Labuan,Malaysia
125,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Labuan,Malaysia
126,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Labuan,Malaysia
127,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Labuan,Malaysia
128,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Labuan,Malaysia
129,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Labuan,Malaysia
130,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Labuan,Malaysia
131,Christmas Day,Sunday,National Holiday,"",2022-12-25,Labuan,Malaysia
132,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Labuan,Malaysia
133,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Melaka,Malaysia
134,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Melaka,Malaysia
135,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Melaka,Malaysia
136,Beginning of Ramadan,Sunday,Regional Holiday,"Johor, Kedah, Malacca",2022-04-03,Melaka,Malaysia
137,Declaration of Malacca as a Historical City,Friday,Regional Holiday,Malacca,2022-04-15,Melaka,Malaysia
138,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Melaka,Malaysia
139,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Melaka,Malaysia
140,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Melaka,Malaysia
141,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Melaka,Malaysia
142,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Melaka,Malaysia
143,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Melaka,Malaysia
144,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Melaka,Malaysia
145,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Melaka,Malaysia
146,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Melaka,Malaysia
147,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Melaka,Malaysia
148,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Melaka,Malaysia
149,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Melaka,Malaysia
150,Melaka Governor's Birthday,Wednesday,Regional Holiday,Melaka,2022-08-24,Melaka,Malaysia
151,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Melaka,Malaysia
152,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Melaka,Malaysia
153,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Melaka,Malaysia
154,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Melaka,Malaysia
155,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Melaka,Malaysia
156,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Melaka,Malaysia
157,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Melaka,Malaysia
158,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Melaka,Malaysia
159,Christmas Day,Sunday,National Holiday,"",2022-12-25,Melaka,Malaysia
160,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Melaka,Malaysia
161,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Negeri Sembilan,Malaysia
162,Birthday of the Sultan of Negeri Sembilan,Friday,Regional Holiday,Negeri Sembilan only,2022-01-14,Negeri Sembilan,Malaysia
163,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Negeri Sembilan,Malaysia
164,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Negeri Sembilan,Malaysia
165,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Negeri Sembilan,Malaysia
166,Isra and Miraj,Tuesday,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu",2022-03-01,Negeri Sembilan,Malaysia
167,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Negeri Sembilan,Malaysia
168,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Negeri Sembilan,Malaysia
169,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Negeri Sembilan,Malaysia
170,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Negeri Sembilan,Malaysia
171,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Negeri Sembilan,Malaysia
172,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Negeri Sembilan,Malaysia
173,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Negeri Sembilan,Malaysia
174,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Negeri Sembilan,Malaysia
175,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Negeri Sembilan,Malaysia
176,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Negeri Sembilan,Malaysia
177,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Negeri Sembilan,Malaysia
178,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Negeri Sembilan,Malaysia
179,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Negeri Sembilan,Malaysia
180,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Negeri Sembilan,Malaysia
181,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Negeri Sembilan,Malaysia
182,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Negeri Sembilan,Malaysia
183,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Negeri Sembilan,Malaysia
184,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Negeri Sembilan,Malaysia
185,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Negeri Sembilan,Malaysia
186,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Negeri Sembilan,Malaysia
187,Christmas Day,Sunday,National Holiday,"",2022-12-25,Negeri Sembilan,Malaysia
188,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Negeri Sembilan,Malaysia
189,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Pahang,Malaysia
190,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Pahang,Malaysia
191,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Pahang,Malaysia
192,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Pahang,Malaysia
193,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Pahang,Malaysia
194,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Pahang,Malaysia
195,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Pahang,Malaysia
196,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Pahang,Malaysia
197,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Pahang,Malaysia
198,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Pahang,Malaysia
199,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Pahang,Malaysia
200,The Sultan of Pahang Hol,Sunday,Regional Holiday,Pahang,2022-05-22,Pahang,Malaysia
201,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Pahang,Malaysia
202,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Pahang,Malaysia
203,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Pahang,Malaysia
204,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Pahang,Malaysia
205,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Pahang,Malaysia
206,Birthday of the Sultan of Pahang,Saturday,Regional Holiday,Pahang only,2022-07-30,Pahang,Malaysia
207,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Pahang,Malaysia
208,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Pahang,Malaysia
209,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Pahang,Malaysia
210,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Pahang,Malaysia
211,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Pahang,Malaysia
212,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Pahang,Malaysia
213,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Pahang,Malaysia
214,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Pahang,Malaysia
215,Christmas Day,Sunday,National Holiday,"",2022-12-25,Pahang,Malaysia
216,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Pahang,Malaysia
217,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Putrajaya,Malaysia
218,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Putrajaya,Malaysia
219,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Putrajaya,Malaysia
220,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Putrajaya,Malaysia
221,Federal Territory Day Holiday,Thursday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2022-02-03,Putrajaya,Malaysia
222,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Putrajaya,Malaysia
223,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Putrajaya,Malaysia
224,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Putrajaya,Malaysia
225,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Putrajaya,Malaysia
226,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Putrajaya,Malaysia
227,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Putrajaya,Malaysia
228,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Putrajaya,Malaysia
229,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Putrajaya,Malaysia
230,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Putrajaya,Malaysia
231,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Putrajaya,Malaysia
232,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Putrajaya,Malaysia
233,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Putrajaya,Malaysia
234,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Putrajaya,Malaysia
235,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Putrajaya,Malaysia
236,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Putrajaya,Malaysia
237,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Putrajaya,Malaysia
238,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Putrajaya,Malaysia
239,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Putrajaya,Malaysia
240,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Putrajaya,Malaysia
241,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Putrajaya,Malaysia
242,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Putrajaya,Malaysia
243,Christmas Day,Sunday,National Holiday,"",2022-12-25,Putrajaya,Malaysia
244,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Putrajaya,Malaysia
245,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Perlis,Malaysia
246,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Perlis,Malaysia
247,Isra and Miraj,Tuesday,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu",2022-03-01,Perlis,Malaysia
248,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Perlis,Malaysia
249,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Perlis,Malaysia
250,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Perlis,Malaysia
251,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Perlis,Malaysia
252,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Perlis,Malaysia
253,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Perlis,Malaysia
254,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Perlis,Malaysia
255,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Perlis,Malaysia
256,Birthday of the Raja of Perlis,Tuesday,Regional Holiday,Perlis only,2022-05-17,Perlis,Malaysia
257,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Perlis,Malaysia
258,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Perlis,Malaysia
259,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Perlis,Malaysia
260,Hari Raya Haji Holiday,Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Perlis,Malaysia
261,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Perlis,Malaysia
262,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Perlis,Malaysia
