"Ingredient Code","Ingredient Name","Purchase UOM","Conversion Rate (to 1 unit of BOM UOM)","Ingredient Category","Cost Effective Date","Ingredient Purchase Price","Lead Time (Days)","MOQ (Quantity)","MOQ (UOM)","MOQ (Remark)","Shelf-life (Days)"
GPK-0056,COMPOSTABLE MATERIAL STRAW 6MM X 210MM (W/WRAP) (1CTN X 10PKT X 500PCS),PCS,1.0,OTHERS,"2023-01-01",0.4,30.0,,,,240.0
GPK-0057,GIGI COFFEE NAPKIN (2PLY) (1CTN X 50PKT X 100PCS),PCS,1.0,OTHERS,"2023-01-01",0.1,30.0,,,,240.0
GPK-0094,GIGI COFFEE DOUBLE WALL PAPER CUP 16OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-01",0.115,90.0,100.0,CTN,,240.0
GPK-0294,LEAK PROOF PAPER 13CM (1PKT X 500PCS),PCS,1.0,OTHERS,"2023-01-01",0.3,30.0,,,,240.0
GRTD-0012,APPLE JUICE NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0013,GUAVA DRAGONFRUIT BEETROOT NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0014,GUAVA NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0015,CARROT ORANGE PINEAPPLE NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0018,COCA-COLA RASA ASLI (1CTN X 12BTL X 1.5L),BTL,0.0007,BOTTLED BEVERAGE,"2023-01-01",3.53,3.0,,,,90.0
GRTD-0021,SPRITZER MINERAL WATER (1CTN X 24BTL X 350ML),BTL,0.0417,MINERAL WATER,"2023-01-01",11.51,3.0,,,,90.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-05",0.38,60.0,100.0,CTN,,240.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-05",0.21,90.0,100.0,CTN,,240.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-06",0.42,60.0,100.0,CTN,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-15",8.9,3.0,,,,60.0
GIG-0046,CHOCOLATE CHIP (1PKT X 1KG),KG,0.001,TOPPING,"2023-02-05",30.0,14.0,,,,90.0
GIG-0046,CHOCOLATE CHIP (1PKT X 1KG),KG,0.001,TOPPING,"2023-02-06",30.0,14.0,,,,90.0
GPK-0094,GIGI COFFEE DOUBLE WALL PAPER CUP 16OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-02-09",0.22999999999999998,90.0,100.0,CTN,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-02-20",8.9,3.0,,,,60.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-03-01",8.9,3.0,,,,60.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-03-14",0.7,60.0,100.0,CTN,,240.0
GPK-0057,GIGI COFFEE NAPKIN (2PLY) (1CTN X 50PKT X 100PCS),PCS,1.0,OTHERS,"2023-03-16",0.1,30.0,,,,240.0
GIG-0003,DARK CHOC SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-03-19",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0009,MANGO CONCENTRATE SAUCE (1CTN X 6BTL X 1KG),KG,0.001,SYRUP,"2023-03-19",70.0,30.0,50.0,CTN,can mix flavour,150.0
