"Ingredient Code","Ingredient Name","Purchase UOM","Conversion Rate (to 1 unit of BOM UOM)","Ingredient Category","Cost Effective Date","Ingredient Purchase Price","Lead Time (Days)","MOQ (Quantity)","MOQ (UOM)","MOQ (Remark)","Shelf-life (Days)"
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-05-31",80.0,7.0,,,,90.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-05-31",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0338,BASIC CHOCOLATE ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-06-05",50.0,14.0,,,,30.0
GIG-0339,COOKIES & CREAM ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-06-05",50.0,14.0,,,,30.0
GBK-0027,ORIGINAL CRISPY FLAKE (1CTN X 12PKT X 1KG),KG,0.001,TOPPING,"2023-06-07",40.0,14.0,,,,90.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-06-07",0.18,90.0,100.0,CTN,,240.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-12",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-12",110.0,7.0,,,,90.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-06-12",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-13",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-13",80.0,7.0,,,,90.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-14",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-14",110.0,7.0,,,,90.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-06-14",38.46,30.0,50.0,CTN,can mix flavour,150.0
